Submission Date,C1: Hallway (Control),S1: Grief Response,S2: Workplace,S3: DV Direct,S4: DV Third Party,S5: Addiction Relapse,S6: Child Disclosure,Age,Education,Field,Gender,Reflection,Source
2026-03-19,"A quick smile back and respond ""I'm good, thanks!"" without stopping them.","""I'm so sorry to hear that. My condolences and prayers go out to you and your family. If there's anything you need from me or anything I can do to help, please don't hesitate to reach out.""","""I think it looks good! My only concern is this area right here. Are you confident the investors will buy into this with this legal situation? Other than that, looks great!""","""It sounds like us hanging out would make things complicated whether we tell someone or not. I miss you too, but I don't think we should be doing anything in secret.""","""Let her know your thoughts on the matter and how you don't think its right for someone to check their partner's phone. You can list things like a lack of trust or if the relationship has any other red flags. If she disagrees though, I would leave it at that and not press too much. After all, its her relationship, not yours.""","""I remember, they were some good times. But you're not planning on going back are you? Thought you quit for a reason?""","""You should definitely ask questions, especially if you don't know this friend of his. I would reach out to her dad about who the friend is. I would also ask very vague questions to your daughter about what her and this friend do. Or if you don't feel comfortable doing that, you could always seek out a professional children's therapist that has experience in the area.""",18 to 24,Bachelor's degree,Other,Man,,organic
2026-03-20,Hey! I'm good! What about you?,My condolences.,"Oh wow, this is cool. When do you expect to hear back from the investors after you submit? Are you nervous? Anxious? Excited?","Sure. Thanks for reaching out. When do you want to meet? Miss you, too.","Oh no, this doesn't look good. I think you should because that is a red flag.",I've been good. Sorry to hear you've been having a tough week. Please don't go to the bar. Do you want to talk?,We need to go to the police.,25 to 34,Graduate degree,Healthcare / social work,Woman,,organic
2026-03-20,Good and you!,"I'm so sorry, lf you like to chat call me on here for you.",Looks great just a few things l might tweek. Do you want me to explain?!,Sure stop by.,I think she needs to talk to her partner on why she feels she needs to check his phone!,Not sure haven't been in years!!,Talk to her or get some family therapy.,55+,Some college,Other,Woman,Life experiences and lessons. Living and learning from the mistakes that you make in life,organic
2026-03-20,Good,"Oh my god, I'm so sorry. I'll be right over unless you need your space.",That's awesome! Have you run this by a legal consultant?,I'm sorry I can't. I would need to let my wife know that I was meeting with you and you've asked me not to tell anyone.,Just be there for her. There's obviously stuff going on between them and she needs you to support her.,"Not sure, haven't been there in ages. Thanks for reaching out. How are you doing?",Take her to the police station now. There are people who are trained to talk to children that can help you. That ‚Äúfriend‚Äù needs the wood chipper feet first.,25 to 34,High school / GED,Other,Man,,organic
2026-03-20,Good enough,I'm very sorry to hear that.,"Before you submit this, you might want to look this","As interesting as that sounds,I don't think so.",I think that would make me uncomfortable.,Sounds like trouble to me.,Have a talk with the adult.,55+,Some college,Technology,Man,Not really.,organic
2026-03-20,"Hey! I'm good, how are you?",I am so sorry to hear about your dad! I am on my way to your house.,"Love the approach. Honestly, not an expert here though. Have you ran it by any legal expert to make sure there are no grey areas?",Hey! Let me know when and where and I will be there!,I think that we get in our own head about things that we make up. Have a conversation about it.,"Hey! I don't know, but I know Starbucks is-- let's go!","I hate to hear that there are even any of these thoughts going through your mind. Reach out to her dad! Just because the two of you don't talk, doesn't mean that her best interest isn't at the forefront of both of your minds. If he doesn't seem concerned, ask your daughter to show you what the games are.",25 to 34,Bachelor's degree,Other,Woman,,organic
2026-03-21,A nod and soft polite smile of ‚Äúdoing good‚Äù and a raise of hand as acknowledgment,"My deepest sympathies and if you need anything let me know, I'm here even if it's just to talk. Much love.",I would look at it closely in physical action to give the feeling of looking closely.  I then would agree this is great but this part ( the one in question) if I had this brought up how should I react? What do you think? Just an idea?,Hey! Yes would love to see you! If anyone asks we could be reviewing my speech about a new account! Could definitely use a sound board! But of course just us!,"Hmm that is worrisome, I would make it routine to call and could be said you want to strengthen the friendship cause of how much you guys mean to each other. If you ever wanted to ask her directly I would do it only in person and nothing in writing so you can see a physical response, don't want to jump but also not ignore.","lol yeah who knows, Covid shut down a lot of places. My husband and I usually just loook for good food. Could join? Most places don't have a bar.","This situation must be addressed very carefully and quickly.  First no leading questions and no situations alone. Give an easy smile and say hey my friend may be able to help her. With no words show a SA report way, Men and multiple at that playing a secret game , this is nothing normal and needs professional help and also know staying quite could get you even as the parent in trouble.  I now know , I will give you x hours to report I do.",35 to 44,Some college,Healthcare / social work,Woman,,organic
2026-03-21,"Good, Good! ""Name of person"" and you?
  Why the rush.... ","Oh. You wanna meet up and get a drink right now?
","Wow, this looks great, but i do see something you might want to address before next week. *Points out the issue. This could be an issue that might lose the investor and land you into more trouble.
","Look we had fun, but your married now and i am a married man myself. I love my wife and will not risk it for anyone. Doing this behind your husband back will only crack your relationship with him. I'll meet with you if you bring your husband and i bring my wife. Otherwise let pretend this never happened. It was great hearing from you. 
     The one that got away -Carols Orbitz Reeves","If i were you. I would support her and keep in contact regularly. If things escalate then call the police. Spouse get jealous or feel insecure about something, maybe recommend a therapist for them to go see.
 May Jesus help you -Carlos Obitz Reeves","Yeah man it been some time. After Collins death we all kinda drifted apart. I remember his dad running that bar for 35 years, before Collin took over. I think it was taken over by Chris around 3 years ago. You remember Chris, the one who always hung around that place and helped out with serving customers. I think the place is still open and running great. You should come down and get a cold one with me. 
    Best buddy -Carlos Obritz Reeves","File a report and talk to the judge about the child welfare. This could be really serious and we should joke about these things.
 -That man done messed up now -Carlos Jailer Reeves",25 to 34,Bachelor's degree,Other,Man,,organic
2026-03-21,"Fine, thanks",Thanks for telling me,I'm not sure how legal that part is,"I would, but I'm not sure why it has to be a secret",Maybe wait and see if it escalates,"Sure, but I know a good restaurant that might be better",,18 to 24,High school / GED,,Woman,,organic
2026-03-22,"Good thanks, you",I am so sorry to hear that. This is shocking news and I am not sure what to say. Ill be here if you need. Let me know if there is anything I can do,"Aw this look great x, you've really put in so much work in it! Thats a lot of hardwork and seems to existing! Would you be ok if I gave some feedback to help it be slightly more tighter for submission?","Hey lovely to hear from you, hope you are well. Would love to hang out and have missed you! Are you sure its a good idea to not tell anyone?",The best thing you can do is be a friend that you have always been rather than pushing her away. You dont have enough info on whats going on and pushing her means that if he is like as you assume he wins. Just be there for her,"Hey hun, sorry its been rough. Do you want to come to mine and we can chat? Maybe we can go and see if its still open and have nice walk there.","Omg this is worrying, how are you doing? Call me if you need to talk and Get her to act it out with the dolls and tell the dad immediately. Please stop sending her there right nkw and get her checked by a doctor.",25 to 34,Graduate degree,Healthcare / social work,Woman,,organic
2026-03-22,"Good thank you, yourself?","I;m here for you if you need anything...
you can call me anytime.
im always here for you","I love the idea and I think its great, 
however I think we can also try x y and z.","are you okay?
you husband sounds very controlling 
but yes, we can hang out.","ooo this sounds tough
I think u should try taking to her about it for and see from there
however not much you can do from your end though except for being there for her when she needs it.","hey there! love to catch up, 
ive actually been really wanting to go to this (other restaurant), the vibes look really good.
we can meet there at 5:00?","ask her to play the games with you to see her reaction, maybe then you would be able to piece together the situation better. 
I think this is very concerning though..
they let your daughter stay with you more.",18 to 24,Bachelor's degree,Healthcare / social work,Woman,,organic
2026-03-22,"That's good, how about you?",Hearing this makes me very sad. I'm always here if you need me.,"Let me state my conclusion first: this direction has potential, but your current profit model is very risky and may get stuck on compliance issues.","Hey,

I miss you too. Hearing you say that makes me a little worried that something might be wrong.

But what you just said, ""Don't tell your husband,"" makes me a little uncomfortable, and I don't really want to meet alone under these circumstances. To me, it would only complicate things, not simplify them.

If you need to talk to someone, or if you're really facing difficulties, I'd love to be there for you in a more open and honest way. You can tell me about your current situation, and we can think of a more suitable approach together, okay?

I'm here.","If you ever feel something's not right, or just want to chat, I'm here for you.","I still remember that time, but I'm more concerned about how you are doing now.","What you're saying really seems a bit off, and it's good that you're concerned. Don't panic. Find a time when she's relaxed and gently ask her what happened. Let her tell you herself; don't guide her. Remember to tell her it's not her fault and that she's right to tell you.

In this situation, I think it's best to consult a professional as soon as possible for peace of mind. Until things are clear, try to prevent her from having any further contact with that person alone.

If you need someone to help you think about this, I'm here for you.",25 to 34,Bachelor's degree,Other,Woman,,organic
2026-03-22,"Good, how are you?","Dear, I am devasteted. When can I call you?","(compliments first, then) there is this one thing i don't neccessarily understand. how is this legal situation looking like?","Sure, when?",can we talk on the phone? i. need more details,Thank you for thinking of me. I hope you are well too,,18 to 24,Bachelor's degree,Technology,Woman,,organic
2026-03-22,"Fine, thank you","I am so sorry, where are you? I will go to your house","This is great, i can see the potential. But,  can i say something? Maybe you can considered about this one, i think it'll make problem if you dont get solution","Sure, but are you sure you dont tell to your husband? He will worried about you","first, i think you have to make sure her condition and if she is not fine, give her advice from your perspective about this problem, advantage and disadvantage...","Well, i am good. I really hope you are good too. Wanna hang out?","You have to tell your worried to your exhusband first. Tell him slowly about this one so you both can discuss it. After that, getting some proof and ask your daughter slowly and soft so it can't make her to traumatize",18 to 24,Bachelor's degree,Prefer not to say,Woman,"I dont know, but maybe i can said i have empathy",surveyswap
2026-03-22,Smile,My condolences,I tell the mistake,Tell him and cum,Communicate with him,Gud,Consult,25 to 34,Graduate degree,Education,Woman,Truth triumphs,surveyswap
2026-03-22,Doing good!,"I'm so sorry for your loss. If you ever need someone to talk to, I'll always be here if you need an outlet to let your emotions out. Take your time to process everything, no rush.","I think it's a great idea! However, I'd be a bit concerned about the legal gray area here. The investors might not let that through.","Hey, long time no see! I don't know if I feel comfortable without your husband knowing, sorry!","Be there with her. If she doesn't want you to push, I say keep being there and showing up for her. Presence is critical, and if things really do start to escalate, you may need to take on more of an active role and express your thoughts to her.","Hey! I'm doing pretty decent. I do remember the bar we used to go to, and I think it closed down recently. Even though we don't talk much anymore, I'm always here if you want to vent about your week. Times can be frustrating, but you'll make it through. I believe in you.","Take it to her dad and have a conversation with him. If he won't say anything (and is possibly covering for his friend), then ask her questions. But be gentle with her when asking questions. If she's visibly uncomfortable, I'd drop the questioning and keep a close eye. If the behavior continues, I would educate her. Talk about safety and privacy, etc.",18 to 24,High school / GED,Prefer not to say,Woman,"Many of my responses, I usually answer the question given to me, but if there is a conflict, I would give a possible solution that the person in the scenario could do, and offer my support in any way.",surveyswap
2026-03-22,"I am good ,how are you",I am so sorry for your loss. Take care TH,There is a clear problem with your model of revenue and it can get you in legal trouble.i,i would not respond.,talk with friend indirectly,"well, yeah lets go but think for a minute and look back on past 2 yrs.",idk,18 to 24,Some college,Healthcare / social work,Man,"fast , tried to relate it to reallife when its relatable if not the response is very plain and fake",surveyswap
2026-03-22,"All good, thanks!","Hello, sorry to hear this... I'm free tonight if you want to come over and talk about it or just spend time together, that's also fine :)",Overall I think it's good! Just quick question did you check with the legal team about X and Y? We might want to make sure everything is feasible before we submit it to the investors.,"Hi, sure! If you have something you want to talk about, I'd be happy to catch up over lunch or coffee.","If they have an agreement between the two of them I don't see any problem but if you friend doesn't like it then she should try saying it clearly. And if the partner needs reassurance she should make sure to include him in her plans or at least let him know about it, I think that could help him trust her.",Hi! I don't hang out in bars anymore but if you want to catch up we can meet at this coffee shop I've been wanting to try.,"You should probably seek the help of some professional. I know some psychatrist specialize in child care you might want to reach out to one and try to know more about what happened? In any case, as long as you're not sure what this is all about you shouldn't let your daughter stay at her dad's if it can be avoided.",18 to 24,Graduate degree,Other,Woman,,surveyswap
2026-03-22,"""Hello. I'm fine, and you?"" I don't expect a response since they are in a hurry.","""Omg, I am so sorry for your loss! May his soul rest in Peace. If you need help with anything, just let me know!""","""Congratulations on completing the business plan! Upon review, I see an issue that might cause huge backlash. Please make changes before submitting it- I can also help you with it if you wish.""","""Hey, sure! What days will you be available? I miss you too.""","""I think you are right to be concerned. This is clearly a HUGE red flag. I think you should make more observations and mentally note down any other concerning things you see, like a scar, an action, or a commentary. Then bring it all up to her in-person so that she will begin to see that there is something wrong.""","""Hey, so sorry to hear you've had a rough week. Yes, I remember, but I don't think they still are. If you are free this weekend, wanna hop on a game with me? I think that might help you de-stress.""","""This is a serious issue. I think you should bring it up with her dad, so that he can confront that friend. Let me know how that goes!""",18 to 24,Bachelor's degree,Other,Woman,I think my responses may seem like I am a stranger to the people in this scenario.,surveyswap
2026-03-22,good,"oh my god, how are you feeling, im here if you need anything, do you need me to come over?","honestly, theres a gray area in it, i suggest we sit and fix it, the plan just needs a bit of fixing, and then itll be amazing youll definitely get it","hey, sure, what happened? of course  wont tell, we'll have some coffee and gossip :)","i get that, maybe try asking her, sometimes people answer questions when someone close it worried and its in private","dude, no drinking remember? we can get coffee or even better icecream","ask her dad, its always better to have open communication, and if you both feel weird about then ask the kid",18 to 24,High school / GED,Healthcare / social work,Woman,"mostly i was supportive, a bit frank but overall i wanted to help best of my abilities",surveyswap
2026-03-22,"I'm good, you?","Oh god, I'm coming over.","I really like it, but as a customer, I might be a bit reluctant here. So it's just a simple suggestion do you think you can change this part? It's just what I think would work out the best for you, you know! I want the best for you!","Yea sure, how are you though?",Maybe try to tell her it's not okay while you maintain fun boundaries. She clearly looks close to him and would definitely cut you off if you confront her directly. I'd suggest teaching her in a fun banter.,"Yeah, why not, let's hit up the place!",Talk to his dad. The ego comes later. Your daughter's safety comes first. I'm worried he might be doing dirty stuff with her. If his father knocks it off I'd suggest not letting your daughter go there. At least till his dirty friend stops coming by! And teach her about the bad touch so that she can report to a good adult.,18 to 24,High school / GED,Other,Woman,I was able to reflect on my responses and prepared me for different situations and how to think fast.,surveyswap
2026-03-22,I say ìgood and youî whilst walking as well.,"I'm very sorry to hear that. Let me know if there's anything I can do for you, even if it's just bringing you a big hug. You are not alone. Love u",I think it has really strong points like this and that but have you considered this? Maybe we can have a further look into it to make sure it's 100% flawless. I can help if you want.,Sure. Where and what time? Is everything ok?,"Hummm, it's complicated. You want to check on her and advise but without coming off as judgmental and make her shut you out. Perhaps just slowly and calmly ask her about it and how she feels but make it clear you're here for her regardless and she doesn't have to speak if she doesn't want to.","Heya, been thinking bout you as well. That sounds found but I've been a bit drained. What if you come over at mines instead and we play some game and have a chat?","Oh no, that's concerning. Ask her what games they play. Perhaps give her a doll and ask her to show it to you. Remind her she is not in trouble and she can tell you anything. If something inappropriate is happening, call the police.",25 to 34,Bachelor's degree,Prefer not to say,Woman,"Not really, some of scenarios have happened in my life so I used previous experience.",surveyswap
2026-03-22,hi,Don't be too sad.,?????????????????????????????????,ok,??????????????,????????????,???????????????????????????,18 to 24,Bachelor's degree,Prefer not to say,Woman,,surveyswap
2026-03-22,I'm good how are you?,I'm so sorry. Let me know if you need anything.,This is great but I think there are areas to make it even better. Shall we set up some time to go through it?,I don't think this is appropriate...,I think it really depends on your friend's dynamic with her partner. Maybe observe a bit more before you do anything?,Hey shall we grab dinner instead? I know a nice restaurant.,,25 to 34,Bachelor's degree,Other,Woman,,surveyswap
2026-03-22,good thanks,let me know when i can come over today,hey you should fux...,idk,talk to her,omg ya haha good u,,18 to 24,Some college,Law / legal,Woman,,surveyswap
2026-03-22,"Good, thanks! How are you?",I'm really sorry about your dad. I'm here for you.,"First of all, this is really impressive, you've clearly put a lot of work into it. One thing I'm a bit concerned about though is the revenue model. It seems like it might rely on a legal gray area, and I'd worry that could be risky with investors. Have you thought about how to address that or build a backup plan?","I miss you too, and I'd love to catch up. But I'm not comfortable keeping it a secret from your husband. Maybe we can hang out in a way that doesn't have to be hidden?","It makes sense that it didn't sit right with you. Things like jealousy and checking someone's phone can sometimes point to controlling behavior, even if it's joked about. You don't have to jump to conclusions, but it might be good to stay aware and be there for her. If you talk to her, you could keep it gentle just check in and let her know you've got her back if anything ever feels off.","Hey, I've been thinking about you too. I'm really glad you reached out sorry it's been a rough week. I'm here if you want to talk. And yeah, I remember that place, but maybe we could catch up somewhere low-key instead? Coffee or a walk?","I'm really glad you reached out. What your daughter said is concerning, and you're right to take it seriously. The most important thing right now is to stay calm and supportive with her. Let her know she's safe with you and that she didn't do anything wrong. Try to ask gentle, open questions like ‚ÄòCan you tell me more about the games?' without suggesting answers or pressuring her. Don't promise to keep secrets if something isn't safe, you'll need to get help to protect her.
It's important to involve professionals as soon as possible this could mean contacting a child protection service, a pediatrician, or a child psychologist who is trained to handle situations like this. They can guide you on how to proceed and help make sure your daughter is safe. If you believe there's any immediate risk, don't wait contact local authorities right away.
You're doing the right thing by taking this seriously and looking for help.",25 to 34,Bachelor's degree,Education,Woman,,surveyswap
2026-03-22,yes I would smile back and say I am good,I would call my friend rather than writing a text,I would review it then based on plan share my honest feedback,if he/she is a friend I would definatily meet them if they were someone who doing it to get close to me and using it as an excuse I would excuse myself.,I would honestly advice them to leave their partner,will share some memroies,I think she should definatly ask the daughter  not direct but some more info the decription the probality it states it may be something abusive towards the child.,25 to 34,Bachelor's degree,Healthcare / social work,Woman,NOT SURE,surveyswap
2026-03-22,Good thanks! You?,I am so sorry. Sending my condolences to you and your family during this difficult time. I am here for anything.,It's really good! Just this one thing...... are you sure this won't cause any issues?,Of course! When can i see you?,I think we need to talk to her in private and see if shes okay.,Hey! I am well thank you. Yes i remember that bar. I've heard it's not too good now. Anyway how have you been? whats been going on?,Oh no. We need to talk to her dad and your daughter to get more details before we go to the police. Her safety and wellbeing comes first.,18 to 24,Bachelor's degree,Other,Woman,,surveyswap
2026-03-22,Hi. How are you.,ok. let me know if you want company.,"Tell me about the ""legal grey area"" part. Depends.",Ew. Fuck off.,None of my business.,no,none of my business,18 to 24,Bachelor's degree,Other,Man,no,surveyswap
2026-03-22,"I would also smile and say ""I'm good""",I am so sorry for your loss. Let me know when you feel comfortable talking about it. I am always here for you,I would suggest you take some professional advice before taking any decision,Sorry. You can call me if you want. But I don't feel good hanging out,There is nothing you can do about it. It is their relationship. If anything bad happens in front of you then you can speak up about it.,"Hey, bar? Weren't you sober for 2 years? what happened? Everything alright?",Talk to your husband first. Notice anything different that might be going on. keep an eye on his friend and see how often he pays a visit. If possible don't let your daughter to your husband's place for atleast a week or so till you have gathered all the information,25 to 34,Bachelor's degree,Other,Woman,Some things were out of real life conversations so it was easy to answer them,surveyswap
2026-03-22,"Good, how are you?",So sorry to hear that! I'll come over after work. You're not alone in this.,That's great work. I just realised one detail that we should look at again.,Sure :),"Talk to her again in a quiet setting. Be there for her, give her room to talk, dont talk over her",Hey :) lets meet for a coffee instead,,25 to 34,Bachelor's degree,Other,Woman,,surveyswap
2026-03-22,"Hey! I'm well, yourself?","Omg dear, thank you for sharing. I am extremely sorry to hear that. Where are you now? Can I support you anyhow? Please let me know when I can call you. Don't want to bother you but I am here and willing to help as I can.","That is wonderful! I love your hard work and dedication! Well done! Have you explored the legal area by any chance? I can see some grey area I am totally happy to provide you with some suggestions, if that's okay.",Hi lovely! I miss you too and looking forward to some alone time with you. Coffee/lunch tomorrow? Or what are you up to this evening?,"If you perceived something could be off/hidden and needs a bit more clarity, explore. Talk to your friend in a safe environment away from everyone else and be honest about your concern. Say you are there for her, what is going on?","Hey love, sorry to hear it has been one of those weeks. Same here, to be honest! Shall we catch up tonight/tomorrow? I look forward to seeing you!","Depending on your relationship with her dad, call him to find out more. Meantime, also call a counsellor. It is a serious concern and needs to be addressed by both parents and professionals/authorities.",25 to 34,Some college,Healthcare / social work,Woman,Good luch with your study!,surveyswap
2026-03-22,"Good, thank you!",I'm so sorry... I'm here for you if you want to talk,"It's a great idea, which you've put a lot of effort in! But you might want to consider *the grey area*, as it might affect your project outcomes.","Sure, when do u wanna meet?","I think it's not right, you should hint at the fact that possessiveness is very immature and signals mistrust.","Hey, let's meet some time this week. idk about the bar though, maybe we could go to a cafe?",,18 to 24,Bachelor's degree,Other,Woman,"When it comes to commenting on a problem that indirectly concerns the person (e.g., if they need advice concerning a friends's issue) I seem to be more straightforward",surveyswap
2026-03-22,Good you?,oh my god‚Ä¶ I'm so sorry for your loss. You know I'm here if you need anything - even a distraction,this isn't my area of expertise so I'll refer you to someone else with better experience,"of course we can!! I miss you too, what shall we do? Coffee date?",lets get together and go through the details and we'll see what we can do.,"hey! Hope everything's good. The bar is still open, they have non-alcoholic options too, got any time this week? We could head down for a catch up","discuss this with the dad and I'd go see a cbhild therapist who can get the truth out without causing any trauma, that sounds so suspicious and you're right to be worried",,,,,,surveyswap
2026-03-22,Good! How are you?,"Hi! I'm so sorry to hear that, if you need to talk to someone, you know I'm always here for you!! Sending lots of love <3","It looks great, just a little thing, it looks like the revenue model depends on (legal gray area), maybe you should look into that before submitting it!",Hii! I miss you too!! When are you free? I would love to see you soon too!,"That doesn't sound really good, have you talked to her about it? I think maybe you should grab a coffee with her and see how she is doing.","Hey! I've been thinking about you too! I have no idea if it's open still, do you want to go grab a coffee this week? We should catch up!!","That sounds like a difficult situation to deal with, maybe try talking to her in a normal way just asking questions about what she does when she's over there, without directly mentioning her dad's friend. If you hear something weird then maybe I would consider talking to her dad directly.",18 to 24,Bachelor's degree,Other,Woman,,surveyswap
2026-03-22,good you?,"im sorry mate, lmk if i can do anything for you",its really good. good luck,lmk when and where babes,uhhhh tough situation,im well thanks its still open we shopulfd plan sumn hope yuoure good too,idk,18 to 24,Bachelor's degree,Law / legal,Man,no,surveyswap
2026-03-22,I'm good thanks,"I'm really sorry for your loss, if you need to talk any time text me x","I think maybe change your revenue model,  to make it even better","Ok, tell me where and when. Don't worry I won't tell anyone","I think you have to leave her to figure it out, she'll think your overreacting but just mention gently to her, if you think it's wrong","Sorry, I'm busy at the moment, are you okay?","Maybe get out dolls with her and ask her to reanact it, so you can see",18 to 24,Bachelor's degree,Technology,Woman,I gently steer people in the right direction without being too assertive,surveyswap
2026-03-22,Good,Sorry for your loss,You should revise,Why?,Ask her or her husband for more context,Yea Im good how about you,"You should investigate more, start with her dad then her if he doesn't say anything",18 to 24,Bachelor's degree,Technology,Woman,Not really,surveyswap
