_date,C1_hallway,S1_grief,S2_workplace,S3_dv_direct,S4_dv_third_party,S5_addiction,S6_child_disclosure,age,education,field,gender,reflection,timestamp,_status
2026-04-05T07:22:21.076362,"Hello, I'm good thanks.",I'm so sorry to hear that. How are you doing? Would you like to talk about it?,Clearly a lot of work has gone into this. I think there maybe an issue the legalities of your revenue model. It might be worth getting that checked over before you show this to the investors.,"Of course, I hope you are OK? Just let me know when you would like to meet so we can arrange something.","Tell your friend to tell their friend about their concerns. They need to hear that a jealous partner checking her phone is a cause for concern and should be addressed. This may not land, but its been said and can be repeated until it does land. I would also advise the friend to be supportive.",Is that a good idea? Shall we meet in a coffee house instead. Or you could come to mine for dinner.,Speak to the dad. Speak to the school. Depending on the relationship with the dad go to the school first. Do not send your daughter to her dads until this is sorted. What are the games they playing and why are they to be kept a secret? These questions need answering immediately.,45 to 54,Bachelor's degree,Other,Man,,2026-04-05T07:22:20.599Z,
2026-04-04T10:19:05.794044,Im good,okey,oh ım glad to hear from you,yes sure,ıf you want we can talk about this situation,yes ı remembered.ı will hang out with you,you didnt should go to the their home,18 to 24,Bachelor's degree,Education,Woman,,2026-04-04T10:19:04.797Z,
2026-04-02T11:07:29.379627,"Good, how are you?","I'm so sorry, how can I help you?","Wow good job! I would check the legal aspect of the revenue model before submitting though, just to be sure.",Sure!,Be honest with her about your concerns but don't expect her to leave him right away. She has to figure it out on her own but she also needs your support right now.,"Hey, I'm so glad to hear from you! Not really in the mood for a drink, but maybe a coffee and a sweet treat instead?","Don't panic before you know more, but definitely ask her what the game is. Explain that while you know it is a secret, she can share it with you and her dad because you're her parents and she can tell you anything and you won't get mad no matter what.",25 to 34,Bachelor's degree,Healthcare / social work,Woman,,2026-04-02T11:07:29.046Z,
2026-03-30T14:10:47.263163,"Good, thanks, you?","I'm sorry for your loss, is there anything I can do to help you?","It looks good, but I would check the revenue model again for potential legal issues - I think there is a legal gray area surrounding this.","I'm not sure I feel comfortable doing this, I would prefer if it didn't have to be a secret.",I think you should talk about it with her and try to figure out what's going on.,Hey! Nice to hear from you - how are you doing? I think the bar is (still open/closed),That seems serious - I would try to calmly figure out what's going on. Maybe ask her what kind of games they play? If it's something bad definitely act immediately!,18 to 24,Bachelor's degree,Other,Woman,I'm not sure these are natural reactions - it would depend a lot on the specific friend I'm talking to.,2026-03-30T14:10:46.747Z,
2026-03-29T19:50:18.982549,"""Good, how are you?""","""Are you sure you are fine? I won't say anything.""","""This is great, but there are a few issues with it."" Then I would suggests a few solutions.","""What's going on""","""If she is anxious about it, she probably has something to hide. you shouldn't bother with her affairs""","""I'm good, hope your not thinking about drinking, but we should meet up some time""","You should contact your ex, this is about the safety of your daughter, this is concerning.",18 to 24,High school / GED,Other,Man,,2026-03-29T19:50:18.295Z,
2026-03-29T16:15:58.083610,Great! how are you?,"so sorry for your loss, i can't imagine how you must be feeling, i'm shocked",hmmm this seems great! if you would not mind i just want to ask....,yea sure what time and where?,That sounds worrying...maybe you can approach her indirectly?,"AWW hey, long time huh, im doing great how have you been?",,18 to 24,Prefer not to say,Prefer not to say,Woman,,2026-03-29T16:15:57.728Z,
2026-03-29T01:55:10.759781,"I’m good, thanks",I’m so sorry. Reach out if you need anything. I’m always here.,"This is impressive, but I’m not sure about the legal prospect. Do you have any thoughts on that already?","Yeah, let’s hangout. I’ll be there if there’s anything you want to talk in person.",Do you think she’s seeking help? You could try to make her talk more about what actually happened and check if she feels untrustworthy or insecure.,"Hey, what about we meet in a cafe instead and catch up? I’m preparing for a baby, so I’m not drinking. Sorry about that, but we can still talk about anything.",Have you talked to her dad? It may be tough for you but confronting his friend might be the option here. We definitely don’t want to make your daughter relive things that might be horrible. I think it’ll be safer to have an expert such as a social worker present if you want to ask her questions.,18 to 24,Some college,Other,Woman,,2026-03-29T01:55:04.578Z,
2026-03-28T15:17:44.322761,How are you?,Sorry for your loss.,"I don't know, man…","Fuck off, hoe.",Leave me out of this.,"Ok, let's go!",,18 to 24,Bachelor's degree,Other,Man,,2026-03-28T15:17:43.523Z,
2026-03-27T15:09:07.886053,"Good, how are you?","I’m so sorry to hear that, do you want to talk about it?",Your entire revenue model depends on a legal gray area that could get you shut down. I think you should revise your plan to be less risky.,"Yes, but you should tell your husband I would feel weird hanging out behind his back.","You should talk to your friend about it and tell her about your concerns, there might be red flags she’s not aware of.","I’m doing good, are you really thinking about going to that bar? I wouldn’t want you to relapse.",Talk to the dad and ask about this friend and if he knows anything about these “games”. Ask your daughter what types of games these are (use as safe language as possible),25 to 34,Graduate degree,Other,Man,A few responses I would change if I had a bit more context.,2026-03-27T15:09:07.392Z,
2026-03-26T12:34:07.095166,"Yeah, yeah good (brief nod and smile)",oh i'm so sorry do you want me to come over? wanna chat about it I can drop of some food/blanket/tea if you want xx thinking of you xxx,"yeah i think you've thought a lot about it, i can tell how passionate you are and that will totally translate in your pitch. I think tho you should get it looked over by a legal expert you know, they might help you word the pitch,  make sure all the practical legal and ethical stuff is down pat. Im no expert, its pretty boring but i think its always good to check that sort of stuff for future refrence","hey thats crazy i was just thinking about asking you to hang as well, ive missed you a lot, i'm happy to hear from you. Where/ when is a good time for you? I will bring lots of money for snacks, i'm thinking a hike? Maybe the pub after xxx excited to see you again xxx","i dunno its hard you dont want to be a enemy of the relationship becuase people get defrensive like that and push away, but also thats dodgy as hell, i think your right to be worried. I think maybe you shoukd try and tease out how she feels about the behaviors first and see if theres any wiggle room of doubt about whats happening in her relationships or if she is totally blind. Maybe dont say anything yet but just test the waters, overtime you can be more pushy. Maybe ask to hang then when you see a couple out on the street just mention some similar stuff about your past relationships and go on about how it was kinda dodjy (not too obvious though) it will plant some doubt. i dunno play the long game, just be tactful and obviousky sympathetic and caring.","hey i was just telling XX about that time when we XX the other day! Good memories too man. xx It wouldnt be the same though going back, bet the whole vibe is down, one of theose things thats better in memory, like rewatching the wizard of OZ you know? We should totally hang out though some time, you want to go on a hike or maybe shopping sometime?","wow yeah thats a lot... it might be nothing though. If you want to know what i think, its best just to ask her really casually and calmly, dont let on that anything she says worries you, just get as much out of her as you can, then prehaps talk to her dad about it, for more clarification. Its best to know for sure that the game is scrabble or something when she describes it or if its something else, at least then you can stop it happening.",,,,,"pretty advice oriented, rambly, maybe a bit pushy i dont know. Im not the best at delicate situations or reading social queues",2026-03-26T12:34:06.794Z,
2026-03-25T23:02:36.837870,"""Hey! I'm doing well, thank you!""","""I'm sorry for your loss. Take care, and my condolences to your family.""","""I have some questions about ____. Talk me through that to help me understand it better.""","""Hey! Glad to hear from you and know you are well. Meeting up sounds like it could be problematic for you. Maybe not a good idea at this time. But thanks for reaching out.""","""That's a personal situation, but if you are concerned, ask her. Be careful not to judge or intrude. If you are still concerned, find a way to share resources that could help her, or just let her know you are always willing to listen.""","""Are you okay?""","Ask questions of your ex husband to better understand the situation. Seek professional and legal help, if needed.",Prefer not to say,Prefer not to say,Other,Prefer not to say,,2026-03-25T23:02:36.505Z,
2026-03-25T20:03:53.106017,"Good, you?","I'm very sorry to hear that, let me know if you need anything",I think you should relook at it?,Yeah sure (then talk about that when we meet up),You should ask some more questions before jumping into anything,Is everything okay? are you free to meet this week,,25 to 34,Graduate degree,Education,Woman,,2026-03-25T20:03:52.659Z,
2026-03-25T18:20:55.077184,"I would say ""good and you?""",Thinking of you. I hope you are okay and let me know if you need someone to talk now or later. I also lost my dad so I know how it feels. Take care,"I would say, ""It looks great, Just have you considered this part is a loophole and could be an issue""",Yes sure. where and when?,"as a real friend, sit down with her and address the issue seriously","Hey, yes I remember. let's go there soon. How about this weekend?",take her to the police hoping they have a professional who can ask the right questions,35 to 44,Graduate degree,Other,Man,,2026-03-25T18:20:54.771Z,
2026-03-25T07:19:10.113490,I am good how are you,I am so sorry! I am here if you need to talk!,Have you seen this bit which could stop you? Just wanted to make you aware as you have worked so hard on this!,"Hi it has been a while! 
I don’t think we should meet up as I think it would be a bad idea.",You should talk to her alone and ask her about it to see if she needs help.,Hi! It has been a while hasn’t it. Yeh I remember. I hope your okay? We could always go a check it out some time.,,,,,,,2026-03-25T07:19:09.642Z,
2026-03-25T04:01:03.434278,hi i am fine how are you where are heading to you seem stressed,"i am sorry for you, you no need to take stress to inform me at this situation if i came to know by some where else i wont mind because i know how hard it is for",you plan is good but i see a problem in there if we find a solution and rectified it it will be a great success,we can hide from him get his permission,i hope you understand if you truly loyal to him then why he is checking your phone just let himm knoe he is the one,yes it a good old fdays hope we get back again like that,no,18 to 24,Graduate degree,Other,Woman,no,2026-03-25T04:00:59.193Z,
2026-03-25T00:16:52.046034,Good!,I’m so sorry let me know if you need anything,Maybe take a look at this before that step,No,Stay away from her,Glad to hear from you wanna go get food?,go pick up your daughter and contact authorities,18 to 24,High school / GED,Other,Man,,2026-03-25T00:16:51.117Z,
2026-03-24T13:57:33.393268,i'm good! how are you?,"Oh no, I hope you're ok. I'm here if you need me and stay strong",It's great so far I just have some comment if you think it's okay?,Sure! but are you ok?,It's normal and kind of you to think that! what would you think it's the reason?,Hey what about a new place for coffee for a change? I really want to go there.,hey! sorry I dont know a lot about this but I think you should try to trick her to say what kind of game no? maybe start with her feeling toward the game,25 to 34,Bachelor's degree,Other,Woman,,2026-03-24T13:57:32.996Z,
2026-03-24T12:18:03.183021,Hey,"Hey, I am. truly sorry (name). I will be there in 30min I will bring snacks and drinks and we can talk (or not). Let me know if that is ok with you. 
Again I am so sorry let me know if I can bring anything you need.","Love the idea, the product looks great! Just a quick question though about the revenue model, could you give me a little more details? I feel like the investors might want ask you that question next week if you present it like that.","Of course I miss you too, tomorrow evening? How are things with (name of husband)?",Oh no that is definitely not great in a relationship. Did you try and talk to her about it? Do you know what her husband is like?,"Heya long time no see. Those weeks can definitely be rough, I remember but that was a long time ago. How about we catch up this weekend, there was a walk in (insert place) I wanted to do, would really love if you could join!",,18 to 24,Bachelor's degree,Other,Woman,Some scenarios are harder to answer as they are not something I am confronted to often. It is hard to show kindness and empathy with a message without making it look superficial,2026-03-24T12:18:02.895Z,
2026-03-24T05:24:27.977318,I’m good how are you.,I sorry to hear that. Let me know if you need anything or need to talk. Love you,"You have some great ideas, but you may want to do more research on the legalities of your plan. You may want to allow a lawyer to look over the plan to help guide you on how the current laws regarding the plan. I think you are off to a great start.",Is everything alright? You need to vent about something?,Talk to her and let her know how it made you feel. It’s best to address difficult conversations head on.,Is everything ok? If you wanna talk we can meet up at a coffee shop and talk about your day.,"Which one of daddy’s friends? 
What kind of games do you play?",45 to 54,Bachelor's degree,Healthcare / social work,Woman,I tried to be true to my character.,2026-03-24T05:24:26.909Z,
2026-03-23T18:05:59.662506,"""I'm fine & you?"" With a smile.","""I’m really sorry. I’m here for you - no pressure to talk, but I’m around whenever you need. Sending all my strength, you're not alone.""","""I am really happy to see your work and efforts behind this plan, kudos to you! 
One thing I’m a bit concerned about though is the revenue model - it might fall into a legal gray area, which could be risky with investors. Want to go over that together before you submit?""","“I’d love to catch up, but I’m not really comfortable keeping it a secret. Is there a way we can meet that doesn’t feel complicated?”","“That does sound a bit concerning -especially the phone-checking. You don’t have to jump to conclusions, but trusting your instinct matters here. Maybe check in with her gently and let her know you’re there if anything feels off.”","""Hello, how are you? I was also thinking about you. Maybe we could meet for a coffee? There’s a new place you’d love.""","“This is really important, and you’re right to take it seriously. Try to stay calm and avoid asking any leading questions - just let her share in her own words. The priority is her safety. It would be best to reach out to a child protection professional or a helpline right away so you can handle this properly. You don’t have to figure this out alone.”",18 to 24,Bachelor's degree,Healthcare / social work,Woman,"I was mindful of what I should say because some situations were a little sensitive, and even in other situations, it's better to maintain the boundaries and not just focus on advising the person...",2026-03-23T18:05:58.399Z,
2026-03-23T16:28:15.657260,I'm good and you?,Babe I'm so sorry for your loss. Please let me know when I can come and visit and if you don't want that let me know whenever you wanna be on call. I'm here for whatever you need.,"I love the enthusiasm, effort and hard work you put in this. The whole plan is clearly well thought out but what about the legal perspective. Did you have time to think about that?","Yeah, we can totally plan something soon. Is that normal though, him getting protective of you when you're just meeting your friend?",It's totally fair that you would be worried. Trust is really important in relationships and I would be worried for my friend too. I think you should definitely have a conversation about this with her just the two of you.,"Hi long time no see, and tell me more about the week you had when we meet up. I really wanted to check out this new Italian place. Would you be down?",,18 to 24,Bachelor's degree,Other,Woman,,2026-03-23T16:28:15.164Z,
2026-03-23T14:09:05.819454,Good! How are you?,I am so sorry to hear that.,"It looks so good, but there is a problem, to be honest.","Let's go, I miss you too.",Don't contact her too much.,"Good, we can meet there.",,18 to 24,Bachelor's degree,Technology,Man,,2026-03-23T14:09:05.546Z,
2026-03-23T13:24:54.666122,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18 to 24,Bachelor's degree,Healthcare / social work,Man,Yes,2026-03-23T13:24:53.377Z,
2026-03-23T12:24:19.198892,I'm good thanks,So sorry to hear man. If you need anything just let me know *hugs*,Tell them about the obvious problem,Of course,Tell your friend you're worried about her. Find out how she feels about the whole sitation honestly.,Offer to visit the bar together,Get in touch with a professional,35 to 44,Graduate degree,Healthcare / social work,Man,,2026-03-23T12:24:18.675Z,
2026-03-23T12:01:25.780531,"I'm fine, thank you!","I'm so sorry to hear that, please let me know if you need anything or if I can be of any help. Sendings hugs and kisses","I think it looks quite good overall, but maybe I would look into xyz a bit more.","Hey, thanks for reaching out. Of course, what days works best for you",That's not okay. How long have they been together? Maybe you should have a proper conversation with her,"Hey, are you alright? I'm always here to talk or listen ! Let me know if you'd like to meet any of these days",Oh my god. That sounds super concerning. Perhaps you could ask her more in a non serious manner? And I would go to the dads house and talk to him!,18 to 24,Graduate degree,Other,Woman,Sometimes a bit of awkward situations and not sure what to say,2026-03-23T12:01:24.553Z,
2026-03-23T11:54:52.200294,"All good, how are you?","I’m so sorry to hear that, I’m here if you need anything","Looks good mostly, but there’s a problem that I think you should address","Off course, let’s meet and talk","I think you have every right to be concerned, have they mentioned anything to you about the situation?. It’s important for them to be able to talk to you, but at the same time these situations are tricky and hard to navigate, talk first, see where their head is at",What’s been happening? Let’s talk or go for a walk somewhere,"Yeah that would sound concerning to anyone, especially with their age. It might be nothing and just kids being kids, but if your concerned and you have every right to be, talk to the child, try not to sound like it’s a massive deal, but that your interested in the play aspect, sound interested and try and figure it out.",25 to 34,Graduate degree,Healthcare / social work,Woman,Response may of been reflected through my profession of working within mental health crisis,2026-03-23T11:54:51.539Z,
2026-03-23T11:39:54.369479,"Most likely smile back and give a quick ""good"", even if they won't catch it.","""I'm sorry for your loss. If there's anything you need, feel free to reach out. Can I call you?""","""Seems great, but how about you look into the model a little bit more, I noticed something there."" Point out whatever it is that could cause them an issue","""Heck yeah, pick a time and place, I miss you too!""","""If you truly feel like there's something wrong, you should trust your gut. It's best to be safe rather than sorry, talk to them, ask if they're truly okay, possibly best if it's one on one. You shouldn't invalidate your feelings, even if it turns out to be something trivial, so long as you made sure your friend was okay.""","""Hey, long time to see. If you wanna talk about it, let's go out for coffee instead.""","""Try to approach the situation as calmly as possible, you can try the approach where you tell her a secret, allow her to come to you about it. Don't force it out of her, but gently coax her instead with little secrets of your own to tell. Remind her of her personal space, ask if she's comfortable when she goes to her dad's. Try to monitor her behavior as much as possible, you never know what one gesture could mean.""",18 to 24,Some college,Other,Woman,"I feel like I definitely want to help the people I surround myself with, want to make sure they're okay or to give advice.",2026-03-23T11:39:53.426Z,
2026-03-23T11:37:43.973011,"Pretty good, you?",I'm so sorry and I am here to talk or listen if you need me.,"Overall, I see you put alot of effort in this but I think you need to think about the legality before going forward.",I would love to hang out but I think your husband should know.,I think you should sit down with them and let them know how you feel. Maybe discuss how they can bring it up and how they feel.,"Hey man, hope youre doing good. Want to meet up somewhere soon?",,25 to 34,Graduate degree,Education,Man,,2026-03-23T11:37:42.208Z,
2026-03-23T10:50:05.431338,"hey, what's up","Hey, sorry to hear that. Let me know if I could be of any help.",The plan sounds good but there's one big problem with it that I think you need to take care of.,"Yeah sure, let me know which day works for you.","Just let her know of your thoughts respectfully, once. Your job is done.",Yeah sure let's hang out (I'll talk them out of it later),Explain the situation to her dad. And also ask if it's okay with him for you to talk to her.,18 to 24,High school / GED,Healthcare / social work,Man,I think my responses are very mature.,2026-03-23T10:50:05.165Z,
2026-03-23T09:57:34.508729,fine,my condolences,i think there is problem with the revenue model you should fix it before you submit,ok,it is a bad relation because every relationship should have proper communication as well as personal boundaries,it is still open. wanna hang out and talk about your week,,18 to 24,Graduate degree,,Man,,2026-03-23T09:57:32.209Z,
2026-03-23T09:55:22.365462,"Good, how are you?",I'm so sorry to hear that. My condolences. Thank you for reaching out about it. I'm here if you need anything.,"This sounds like a great idea, but I'm worried that there might be a legal issue with the revenue model.","We can hang out, but are you sure about this? I don't wish to cause you trouble.","Well, I think it's ok to feel worried about her, and it's ok to tell her that.",I'm sorry that you had a rough week. Wanna hang out sometime and chat about it?,,18 to 24,High school / GED,Education,Man,,2026-03-23T09:55:20.109Z,
2026-03-23T09:38:11.871807,"Good, have a great day!","I can not put into words how sorry I am. I am here for you, just say the word and I will be there. Love you Buddy.","I love the entrepreneurial spirit and the strength you put into this. I am so sorry to say this but I think that your model will get shut down. Your entire revenue model relies on a legal grey area. Do not only take my word for it, please ask someone else as well, but I am pretty certain that it is a grey area.","Hey, thank you for reaching out and I am sorry that your husband is overly protective of you. I am excited to meet up, however, I would like you to know that I do not want to be the ""saviour"" in this dynamic. Please do not see me as more than a friend.","I think you should communicate with her, that you are concerned about the situation and see what she wants to do. The only thing you can do is be supportive and reflect the things you see and paraphrase them.","Hi there buddy, I think that place shut down, haha. Maybe you'd like to meet up this weekend? Let's go for a run or play some video games like the good old days.",I think the trauma would have already occured and the only thing you can do is ask as softly as possible what happened. Simultanously you can already just act and go after your intuition. Do not let them meet up again and maybe communicate with her dad what she told you.,25 to 34,Bachelor's degree,Other,Man,,2026-03-23T09:38:11.515Z,
2026-03-23T09:29:50.662308,I would say Hi,I'll send my apologies.,I'll probably mention the problem,I'll never be with someone who is married or has a boyfriend.,Talk to that friend,I'll wanted to know why they are reaching out and acknowledge why that week was rough,,18 to 24,Graduate degree,Other,Woman,,2026-03-23T09:29:46.428Z,
2026-03-23T08:40:33.761699,im fine how about you?,oh im sorry to hear that! can i come by to give you a hug?,i think you should think about x and y,yeah sure we will talk about every thing when ill se you,i think you should speak with her,hi how are you? why was it a rough week? do you want to grab a cup of coffee?,i think you should speak with someone professional,18 to 24,Bachelor's degree,Other,Woman,,2026-03-23T08:40:32.769Z,
2026-03-23T07:52:04.958896,Good,Sad,Nice,Right,Follow your heart,Yup but i will have non alcoholic beer,Consult someone,25 to 34,Graduate degree,Other,Man,,2026-03-23T07:52:04.019Z,
2026-03-23T07:46:08.474547,I’m good thank you,"Oh, sorry to hear that. Take care",Sure go ahead,"Sure, lesgooo","Chillax, don’t overthink rn","Hey doing good, wanna talk",,18 to 24,Bachelor's degree,Other,Man,,2026-03-23T07:45:57.598Z,
2026-03-23T07:20:51.619487,smile and say hi back,sorry to hear that,let's talk,yes sure let's fix a time,not sure,le'ts go there,,25 to 34,Graduate degree,Education,Man,no,2026-03-23T07:20:50.622Z,
2026-03-23T06:04:45.403319,fine,I am sorry to hear that,Have you considered the risks of this project,Has something happened to you,Just stay with her and be her listener,Let's find a place to eat. Drinking alcohol is bad for your health,I suggest you find some time to have a private chat with your daughter and ask your husband about his background at the same time,18 to 24,Graduate degree,Other,Woman,Based on the other party's mood and whether it will harm my interests,2026-03-23T06:04:43.703Z,
2026-03-23T05:49:58.392847,"""I'm fine, how are you?""","""I'm so sorry to hear about your dad's passing. He was a great man and will be missed. Let me know if you need anything. I'm always here for you.""",This looks like a great plan. I think you are going to do amazing things with this. But did you notice this problem here? I'd recommend reviewing the revenue section before presenting it to the investors next week.,"Hey, it is so wonderful to hear from you. I would love to see you. I promise not to mention anything. Just promise me you'll tell me what's going on when you get here. I miss you too. See you soon.",I think you should trust your gut; it is usually right in these types of situations.,"I'm sorry to hear it has been a rough week. I do remember the bar on Fifth, it was a great place to hang out. We should get some coffee sometime to catch up.","That is quite concerning to hear. You're right to be both worried and cautious in this situation. If I were you, I would sit down with her to learn more. There is no scenario I can imagine where a situation like this is normal, and she should be aware that it is okay to tell any secret that makes her uncomfortable. If she is unwilling to say anything, then approach her dad and his friend and get the police involved if you are certain.",35 to 44,Graduate degree,Other,Woman,,2026-03-23T05:49:57.426Z,
2026-03-23T04:42:02.625864,"I'm okay.
How are you?",Oh my God. I'm so sorry. do you need me to come see you?,"It's okay, but I noticed ...",Okay ...,I think you need to have a conversation about it and clearly lay down your boundaries,"Hey, it's still open. Do you want to meet up?",,18 to 24,Bachelor's degree,Technology,Woman,,2026-03-23T04:42:00.740Z,
